emoji_id,zero_shot,emoji_char,emoji_name,emoji_char_ascii,emoji_char_ascii_beg,emjpd_emoji_name_og,emjpd_aliases,emjpd_shortcodes,emjpd_full_description,emjpd_description_main,emjpd_description_side,hemj_emoji_description,emjpd_usage_info,emjpd_description_ref_emj,img_pc1,img_pc2,word_pc1,word_pc2,visual_cluster,semantic_cluster,token_pc1,token_pc2,token_cluster
189,False,🍫,chocolate_bar,\U0001f36b,\U0001f36b,chocolate bar,"['candy bar', 'chocolate']","[':chocolate_bar:\n(Github, Slack, Emojipedia)\n']","a block of dark chocolate, usually shown in a red foil wrapper peeled back to show squares of the candy. whatsapp displays the wrapper in purple, a color commonly associated with cadbury chocolate.

chocolate bar was approved as part of unicode 6.0 in 2010
and added to emoji 1.0 in 2015.
","a block of dark chocolate, usually shown in a red foil wrapper peeled back to show squares of the candy. whatsapp displays the wrapper in purple, a color commonly associated with cadbury chocolate.","chocolate bar was approved as part of unicode 6.0 in 2010
and added to emoji 1.0 in 2015.","the image of a bar of chocolate is the emoji that represents sweets or chocolate itself. it can refer to the act of consuming sweets or to the food item itself. chocolate bar emoji can mean ""i'm on a diet so i can't have chocolate."" or ""the cream for the cake is made of chocolate!"".",,[],-0.005524934,-0.52222675,-0.68542683,0.4529658,2,0,-14.572509765625,25.848907470703125,3
190,False,🥢,chopsticks,\U0001f962,\U0001f962,chopsticks,[],"[':chopsticks:\n(Github, Slack, Emojipedia)\n']","a pair of equal-length chopsticks, an eating utensil used throughout east asia. design and color vary widely by platform, though often red or wood-colored and with tips angled together. featured in many platforms' steaming bowl of food and takeout box. a counterpart to utensils such as fork and knife and spoon.

chopsticks was approved as part of unicode 10.0 in 2017
and added to emoji 5.0 in 2017.
","a pair of equal-length chopsticks, an eating utensil used throughout east asia. design and color vary widely by platform, though often red or wood-colored and with tips angled together. featured in many platforms' steaming bowl of food and takeout box. a counterpart to utensils such as fork and knife and spoon.","chopsticks was approved as part of unicode 10.0 in 2017
and added to emoji 5.0 in 2017.","the chopsticks emoji was added to the food & drink category in 2017 as part of unicode 10.0 standard. this is a fairly fresh emoji, so its support may be limited on some devices.","a pair of equal-length chopsticks, an eating utensil used throughout east asia. design and color vary widely by platform, though often red or wood-colored and with tips angled together. featured in many platforms' steaming bowl of food and takeout box. a counterpart to utensils such as fork and knife and spoon.",[],0.47151458,-0.3473883,0.2372068,1.0929314,3,5,-15.458749771118164,-0.6222187876701355,3
191,False,🎄,christmas_tree,\U0001f384,\U0001f384,christmas tree,"['christmas', 'xmas\xa0tree']","[':christmas_tree:\n(Github, Slack, Emojipedia)\n']","a classic christmas tree, an evergreen tree decorated with lights and ornaments to celebrate christmas.  depicted with round, variously colored ornaments and topped with a yellow star.
used for various content concerning the christmas holiday and season as well as for wintertime more generally.
not to be confused with 🌲 evergreen tree, though their applications may overlap.
google and samsung's trees were previously adorned with tinsel, microsoft's previously lacked ornaments.

christmas tree was approved as part of unicode 6.0 in 2010
and added to emoji 1.0 in 2015.
","a classic christmas tree, an evergreen tree decorated with lights and ornaments to celebrate christmas.  depicted with round, variously colored ornaments and topped with a yellow star.
used for various content concerning the christmas holiday and season as well as for wintertime more generally.
not to be confused with 🌲 evergreen tree, though their applications may overlap.
google and samsung's trees were previously adorned with tinsel, microsoft's previously lacked ornaments.","christmas tree was approved as part of unicode 6.0 in 2010
and added to emoji 1.0 in 2015.","the emoji of a christmas tree decorated with colour lights and a little star on top is perfect for the holidays. it is generally used when sending merry christmas greetings or simply when talking about that time of the year. christmas tree emoji can summarize the concept of holidays and it’s commonly found together with other related symbols such as santa claus or a snowman.
the christmas tree emoji appeared in 2010, and also known as the xmas emoji.","not to be confused with 🌲 evergreen tree, though their applications may overlap.",['🌲'],-0.08731815,-0.13765322,-0.3179189,-0.052916806,3,0,1.7234975099563599,-2.4364192485809326,7
192,False,⛪,church,\u26ea,\u26ea,church,"['church building', 'cross']","[':church:\n(Github, Slack, Emojipedia)\n']","a church building, generally associated with christian denominations. in addition quiet prayer, churches hold regular worship services, weddings, baptisms and funerals.

church was approved as part of unicode 5.2 in 2009
and added to emoji 1.0 in 2015.
","a church building, generally associated with christian denominations. in addition quiet prayer, churches hold regular worship services, weddings, baptisms and funerals.","church was approved as part of unicode 5.2 in 2009
and added to emoji 1.0 in 2015.","the image of a house with a cross placed on its rooftop is the emoji that symbolizes a church. this type of design is usually specific to christian churces, but there are exceptions. church emoji can also refer to a holy place or building. it can mean ""they go to church often."" or ""this is holy ground!"".",,[],-0.049747463,0.021238012,-0.055401787,-0.33267647,3,6,1.6903380155563354,-50.854129791259766,0
193,False,🚬,cigarette,\U0001f6ac,\U0001f6ac,cigarette,"['cigarette', 'smoke']","[':smoking:\n(Github, Slack)\n', ':cigarette:\n(Emojipedia)\n']","a lit, filtered cigarette, shown burning at different directions. commonly used to represent various forms of smoking (e.g., tobacco, marijuana, vaping) as well as metaphorical senses of smoking.
originally intended as a sign for a designated smoking area, as contrasted to 🚭 no smoking symbol. this is illustrated in samsung’s previous design of a stylized, white cigarette on a blue background.

cigarette was approved as part of unicode 6.0 in 2010
under the name “smoking symbol”
and added to emoji 1.0 in 2015.
","a lit, filtered cigarette, shown burning at different directions. commonly used to represent various forms of smoking (e.g., tobacco, marijuana, vaping) as well as metaphorical senses of smoking.
originally intended as a sign for a designated smoking area, as contrasted to 🚭 no smoking symbol. this is illustrated in samsung’s previous design of a stylized, white cigarette on a blue background.","cigarette was approved as part of unicode 6.0 in 2010
under the name “smoking symbol”
and added to emoji 1.0 in 2015.","the image of a lit cigarette emitting smoke is generally used to describe the act of smoking. it can refer to either a place where you are allowed to smoke or to the fact that a person is a smoker or going for a smoke. you can use smoke emoji to say ""smoking is allowed here!"" when referring to a place or simply ""i'm going for a smoke!""
the cigarette emoji appeared in 2010, and now is mainly known as the smoke emoji, but also may be reffered as the no smoking emoji.",,['🚭'],0.34813938,-0.34733814,-0.08456638,0.41301256,3,5,-1.1659085750579834,11.158668518066406,5
194,False,🎦,cinema,\U0001f3a6,\U0001f3a6,cinema,"['cinema screen', 'movies']","[':cinema:\n(Github, Slack, Emojipedia)\n']","an emoji representing the cinema: a large screen showing the latest movies, available to the public. displayed by most platforms as a film projector symbol, and previously by google and microsoft as a cinema screen with curtains.

cinema was approved as part of unicode 6.0 in 2010
and added to emoji 1.0 in 2015.
","an emoji representing the cinema: a large screen showing the latest movies, available to the public. displayed by most platforms as a film projector symbol, and previously by google and microsoft as a cinema screen with curtains.","cinema was approved as part of unicode 6.0 in 2010
and added to emoji 1.0 in 2015.",the cinema emoji was added to the symbols category in 2010 as part of unicode 6.0 standard. this is a mature emoji and it should work on most devices.,,[],0.0683241,-0.32802022,-0.357555,-0.19648461,3,1,2.9583053588867188,-2.309539318084717,7
195,False,Ⓜ️,circled_m,\u24c2\ufe0f,\u24c2,circled m,"['ⓜ circled m', 'ⓜ metro']","[':m:\n(Github, Slack)\n', ':circled_m:\n(Emojipedia)\n']","the letter m in a circle, commonly used in to identify a metro (subway, underground train) station in a city area.

circled m was approved as part of unicode 1.1 in 1993
under the name “circled latin capital letter m”
and added to emoji 1.0 in 2015.
","the letter m in a circle, commonly used in to identify a metro (subway, underground train) station in a city area.","circled m was approved as part of unicode 1.1 in 1993
under the name “circled latin capital letter m”
and added to emoji 1.0 in 2015.",the circled m emoji was added to the symbols category in 1993 as part of unicode 1.1 standard. this is a mature emoji and it should work on most devices.,"the letter m in a circle, commonly used in to identify a metro (subway, underground train) station in a city area.",[],0.2817606,0.12006204,0.18188365,-0.07337359,3,1,11.750068664550781,-46.111488342285156,0
196,False,🎪,circus_tent,\U0001f3aa,\U0001f3aa,circus tent,"['big top', 'circus']","[':circus_tent:\n(Github, Slack, Emojipedia)\n']","a circular ‘big top’ circus tent, with a triangle flag on top.

circus tent was approved as part of unicode 6.0 in 2010
and added to emoji 1.0 in 2015.
","a circular ‘big top’ circus tent, with a triangle flag on top.","circus tent was approved as part of unicode 6.0 in 2010
and added to emoji 1.0 in 2015.","the image of an old fashioned circus tent is the classic symbol for a circus and any such related individuals or activities. it encompasses all the entertainment and personalities related to it. circus tent emoji can mean ""i love going to the circus!"" or ""i was amazed at all the tricks the animals could do!"".",,[],0.31443146,-0.01749796,0.1252546,0.080620006,3,0,3.836745023727417,-3.137910842895508,7
197,False,🏙️,cityscape,\U0001f3d9\ufe0f,\U0001f3d9,cityscape,[],"[':cityscape:\n(Github, Slack, Emojipedia)\n']","
cityscape was approved as part of unicode 7.0 in 2014
and added to emoji 1.0 in 2015.
",,"cityscape was approved as part of unicode 7.0 in 2014
and added to emoji 1.0 in 2015.",the cityscape emoji was added to the travel & places category in 2014 as part of unicode 7.0 standard. this is a mature emoji and it should work on most devices.,,[],0.43531722,-0.05466538,1.402004,1.4136353,3,3,3.770542860031128,-23.517377853393555,5
198,False,🌆,cityscape_at_dusk,\U0001f306,\U0001f306,cityscape at dusk,"['dusk city', 'orange sky city']","[':city_sunset:\n(Github, Slack)\n', ':cityscape_at_dusk:\n(Emojipedia)\n']","a view of city buildings as the last light disappears from the sky. an orange (or blue) glow lingers, before the stars of the night sky become visible.

cityscape at dusk was approved as part of unicode 6.0 in 2010
and added to emoji 1.0 in 2015.
","a view of city buildings as the last light disappears from the sky. an orange (or blue) glow lingers, before the stars of the night sky become visible.","cityscape at dusk was approved as part of unicode 6.0 in 2010
and added to emoji 1.0 in 2015.",the cityscape at dusk emoji was added to the travel & places category in 2010 as part of unicode 6.0 standard. this is a mature emoji and it should work on most devices.,,[],0.4032433,-0.19055593,0.19098689,-0.098142564,3,0,56.976200103759766,7.347898483276367,5
199,False,🆑,cl_button,\U0001f191,\U0001f191,cl button,"['clear', 'clear button']","[':cl:\n(Github, Slack)\n', ':cl_button:\n(Emojipedia)\n']","cl is what shows on the clear button of some older mobile phones.

cl button was approved as part of unicode 6.0 in 2010
under the name “squared cl”
and added to emoji 1.0 in 2015.
",cl is what shows on the clear button of some older mobile phones.,"cl button was approved as part of unicode 6.0 in 2010
under the name “squared cl”
and added to emoji 1.0 in 2015.","the image of a square in which the letters c and l are written is the emoji that represents the clear button from some older mobile phones. depending on context, cl button emoji can also be simply used as the word ""clear"" when referring to something that is no longer occupied or that has been deleted.",,[],0.11763618,-0.35827762,-0.4084553,-0.41851482,3,5,28.561309814453125,-4.1351318359375,5
200,False,🗜️,clamp,\U0001f5dc\ufe0f,\U0001f5dc,clamp,"['clamp', 'table vice', 'winzip']","[':clamp:\n(Github, Emojipedia)\n', ':compression:\n(Slack)\n']","a metal clamp or vice, as screwed to hold or compress materials like wood or metal. depicted as a c-clamp or f-clamp, its screw in various positions.
commonly used for various content concerning tools, equipment, and technology. may also represent file compression in computer science. an image of a clamp, for example, is featured in the winzip icon.
twitter’s clamp is red. samsung’s design previously featured a clamp around a cardboard box.

clamp was approved as part of unicode 7.0 in 2014
under the name “compression”
and added to emoji 1.0 in 2015.
","a metal clamp or vice, as screwed to hold or compress materials like wood or metal. depicted as a c-clamp or f-clamp, its screw in various positions.
commonly used for various content concerning tools, equipment, and technology. may also represent file compression in computer science. an image of a clamp, for example, is featured in the winzip icon.
twitter’s clamp is red. samsung’s design previously featured a clamp around a cardboard box.","clamp was approved as part of unicode 7.0 in 2014
under the name “compression”
and added to emoji 1.0 in 2015.",the clamp emoji was added to the objects category in 2014 as part of unicode 7.0 standard. this is a mature emoji and it should work on most devices.,"commonly used for various content concerning tools, equipment, and technology. may also represent file compression in computer science. an image of a clamp, for example, is featured in the winzip icon.",[],0.3508494,-0.23481324,0.45494655,0.76791346,3,5,35.70002365112305,-12.15413761138916,5
201,False,🎬,clapper_board,\U0001f3ac,\U0001f3ac,clapper board,"['clapboard', 'director', 'film slate']","[':clapper:\n(Github, Slack)\n', ':clapper_board:\n(Emojipedia)\n']","a board which contains the scene name, number, and film. a person ‘claps’ the board shut at the top while saying “action” or “cut” to indicate the start and stop of a scene that is being filmed.
this is used to synchronise the audio of the clap with the visuals.

clapper board was approved as part of unicode 6.0 in 2010
and added to emoji 1.0 in 2015.
","a board which contains the scene name, number, and film. a person ‘claps’ the board shut at the top while saying “action” or “cut” to indicate the start and stop of a scene that is being filmed.
this is used to synchronise the audio of the clap with the visuals.","clapper board was approved as part of unicode 6.0 in 2010
and added to emoji 1.0 in 2015.","the image of a clapper board generally used while filming a movie is the emoji symbol for media such as movies or a tv show. depending on context, clapper board emoji can mean the start or the end of a representation. it is the same as saying “i can’t wait for this movie to be released!” or “scene ending”.",,[],0.34113896,0.068208486,0.056580298,-0.028825734,3,5,3.387749195098877,-2.7274110317230225,7
202,False,👏,clapping_hands,\U0001f44f,\U0001f44f,clapping hands,"['applause', 'clap', 'clapping', 'golf clap', 'round of applause']","[':clap:\n(Github, Slack)\n', ':clapping_hands:\n(Emojipedia)\n']","two hands clapping emoji, which when used multiple times can be used as a round of applause.

clapping hands was approved as part of unicode 6.0 in 2010
under the name “clapping hands sign”
and added to emoji 1.0 in 2015.
","two hands clapping emoji, which when used multiple times can be used as a round of applause.","clapping hands was approved as part of unicode 6.0 in 2010
under the name “clapping hands sign”
and added to emoji 1.0 in 2015.","this emoji shows two yellow hands clapping together with sound lines rising out above them. the hands are facing left. this icon means clapping, applause, approval, a way of saying “bravo!”, or being in agreement. clap emoji is often used in succession with many more of this icon to create the illusion of clapping. it’s used when someone is proud of what the other person has said or done, or to congradulate them.
the clapping hands emoji appeared in 2010, and now is mainly known as the clap emoji, but also may be reffered as the hand clap emoji. sometimes it is mentioned as the applause emoji.","two hands clapping emoji, which when used multiple times can be used as a round of applause.",[],-0.12096173,-0.69045085,-0.47540897,-0.23148628,2,1,-8.758769989013672,52.26877212524414,1
203,False,🏛️,classical_building,\U0001f3db\ufe0f,\U0001f3db,classical building,[],"[':classical_building:\n(Github, Slack, Emojipedia)\n']","a building shown with columns in a classical style, sometimes used to represent a courthouse, town hall, post office or stock exchange.

classical building was approved as part of unicode 7.0 in 2014
and added to emoji 1.0 in 2015.
","a building shown with columns in a classical style, sometimes used to represent a courthouse, town hall, post office or stock exchange.","classical building was approved as part of unicode 7.0 in 2014
and added to emoji 1.0 in 2015.",the classical building emoji was added to the travel & places category in 2014 as part of unicode 7.0 standard. this is a mature emoji and it should work on most devices.,,[],0.3740608,-0.26914927,-0.003124949,-0.060151458,3,6,4.298999786376953,-23.432865142822266,5
204,False,🍻,clinking_beer_mugs,\U0001f37b,\U0001f37b,clinking beer mugs,"['beers', 'cheers']","[':beers:\n(Github, Slack)\n', ':clinking_beer_mugs:\n(Emojipedia)\n']","two frosty mugs of beer with frothy heads being clinked together, as done at a celebratory or convivial toast (“cheers!”). several platforms include stylized lines to mark the clinking. see also 🥂 clinking glasses.

clinking beer mugs was approved as part of unicode 6.0 in 2010
and added to emoji 1.0 in 2015.
","two frosty mugs of beer with frothy heads being clinked together, as done at a celebratory or convivial toast (“cheers!”). several platforms include stylized lines to mark the clinking. see also 🥂 clinking glasses.","clinking beer mugs was approved as part of unicode 6.0 in 2010
and added to emoji 1.0 in 2015.","the image of two full and foaming beer mugs clinking one another is the emoji representing “cheers!”. it is often used to salute somebody while having drinks or it can refer to the act of going out to grab a few drinks. clinking beer mugs emoji can mean “let’s go drink some beers!” or simply “cheers!”.
the clinking beer mugs emoji appeared in 2010, and also known as the beer mug emoji.",,['🥂'],0.54069895,-0.81514955,0.17297307,0.8753344,2,6,-11.96099853515625,27.082048416137695,3
205,False,🥂,clinking_glasses,\U0001f942,\U0001f942,clinking glasses,"['celebration', 'champagne glasses', 'cheers']","[':clinking_glasses:\n(Github, Slack, Emojipedia)\n']","two flutes of champagne or sparkling wine being clinked together, as done at a celebratory or convivial toast (“cheers!”). samsung’s design suggests two glasses of white wine. some platforms include stylized links to mark the clinking. see also clinking beer mugs—and bottle with popping cork for a refill.

clinking glasses was approved as part of unicode 9.0 in 2016
and added to emoji 3.0 in 2016.
","two flutes of champagne or sparkling wine being clinked together, as done at a celebratory or convivial toast (“cheers!”). samsung’s design suggests two glasses of white wine. some platforms include stylized links to mark the clinking. see also clinking beer mugs—and bottle with popping cork for a refill.","clinking glasses was approved as part of unicode 9.0 in 2016
and added to emoji 3.0 in 2016.","the image of two champagne filled glasses clinking together generally represents celebration. this emoji is typically used on birthday anniversaries, new year’s eve or weddings. clinking glasses emoji can mean “salutations!” or “happy new year!” or a simple “congratulations!”.",,[],0.61509156,-1.0527693,0.059109103,0.8679551,2,5,-15.583100318908691,1.6097081899642944,3
206,False,📋,clipboard,\U0001f4cb,\U0001f4cb,clipboard,[],"[':clipboard:\n(Github, Slack, Emojipedia)\n']","a white piece of paper secured by a silver clip on a brown clipboard, as used as a writing surface when standing. commonly used for content concerning various types of documents and writing, especially in sports.
many platforms indicate text with dark lines. whatsapp’s design shows lined paper. facebook’s features the easter egg of a table with first names and numbers, perhaps as birthdates:
matt 3/28
louie 4/30
alexa 6/17
brian 8/06
apple’s design also features an easter egg, addressed dear katie and signed take care from john appleseed with the text of its 1997–2002 crazy ones/think different ad campaign:
here’s to the crazy ones. the misfits. the rebels. the troublemakers. the round pegs in the square holes. the ones who see things differently. they’re not fond of rules. you can quote them, disagree with them, glorify or vilify them. about the only thing you can’t do is ignore them. because they change things. they push the human race forward. and while some may see them as the crazy ones, we see genius. because the ones who are crazy enough to think that they can change the world, are the ones who do.

clipboard was approved as part of unicode 6.0 in 2010
and added to emoji 1.0 in 2015.
","a white piece of paper secured by a silver clip on a brown clipboard, as used as a writing surface when standing. commonly used for content concerning various types of documents and writing, especially in sports.
many platforms indicate text with dark lines. whatsapp’s design shows lined paper. facebook’s features the easter egg of a table with first names and numbers, perhaps as birthdates:
matt 3/28
louie 4/30
alexa 6/17
brian 8/06
apple’s design also features an easter egg, addressed dear katie and signed take care from john appleseed with the text of its 1997–2002 crazy ones/think different ad campaign:
here’s to the crazy ones. the misfits. the rebels. the troublemakers. the round pegs in the square holes. the ones who see things differently. they’re not fond of rules. you can quote them, disagree with them, glorify or vilify them. about the only thing you can’t do is ignore them. because they change things. they push the human race forward. and while some may see them as the crazy ones, we see genius. because the ones who are crazy enough to think that they can change the world, are the ones who do.","clipboard was approved as part of unicode 6.0 in 2010
and added to emoji 1.0 in 2015.",the clipboard emoji was added to the objects category in 2010 as part of unicode 6.0 standard. this is a mature emoji and it should work on most devices.,"a white piece of paper secured by a silver clip on a brown clipboard, as used as a writing surface when standing. commonly used for content concerning various types of documents and writing, especially in sports.",[],0.25764313,-0.47475818,0.15583989,0.5356759,2,5,22.31247329711914,-20.817901611328125,5
207,False,🔃,clockwise_vertical_arrows,\U0001f503,\U0001f503,clockwise vertical arrows,[],"[':arrows_clockwise:\n(Github, Slack)\n', ':clockwise_vertical_arrows:\n(Emojipedia)\n']","
clockwise vertical arrows was approved as part of unicode 6.0 in 2010
under the name “clockwise downwards and upwards open circle arrows”
and added to emoji 1.0 in 2015.
",,"clockwise vertical arrows was approved as part of unicode 6.0 in 2010
under the name “clockwise downwards and upwards open circle arrows”
and added to emoji 1.0 in 2015.","this icon depicts a lengthwise upwards and downwards arrow making an unconnected circle. this emoji could mean recycling, reusing, environmental issues, repeating, cycles, or regeneration. it would most likely be used in regards to the music symbol “repeat”. clockwise vertical arrows emoji could be sent to someone asking them to resend a message, or replay a song or video. it could also be used to tell someone the texter is making a round trip, and will be coming back.",,[],0.9004111,-0.604479,0.7335734,1.0242407,2,1,-10.798346519470215,-17.155561447143555,7
208,False,📕,closed_book,\U0001f4d5,\U0001f4d5,closed book,['red book'],"[':closed_book:\n(Github, Slack, Emojipedia)\n']","a closed, hardcover book depicted with a red cover on most platforms. commonly used for various content concerning reading, writing, learning, and schooling. may also be used as a red accent color.
apple’s cover features the easter egg “vol. 1 by john appleseed.” apple’s original design for this emoji said “vol. 3 by john appleseed,” however now this title appears on apple’s 📘 blue book design.
google’s design previously featured a brown cover with a red bookmark. samsung’s artwork once featured a blue cover printed with the initials hydm, though its latest design has a red cover.

closed book was approved as part of unicode 6.0 in 2010
and added to emoji 1.0 in 2015.
","a closed, hardcover book depicted with a red cover on most platforms. commonly used for various content concerning reading, writing, learning, and schooling. may also be used as a red accent color.
apple’s cover features the easter egg “vol. 1 by john appleseed.” apple’s original design for this emoji said “vol. 3 by john appleseed,” however now this title appears on apple’s 📘 blue book design.
google’s design previously featured a brown cover with a red bookmark. samsung’s artwork once featured a blue cover printed with the initials hydm, though its latest design has a red cover.","closed book was approved as part of unicode 6.0 in 2010
and added to emoji 1.0 in 2015.","it depicts a closed red book with black binding on the left. closed book emoji represents books, libraries, journals, and school. this emoji could be used to indicate studying, reading, or going to a library.","a closed, hardcover book depicted with a red cover on most platforms. commonly used for various content concerning reading, writing, learning, and schooling. may also be used as a red accent color.",['📘'],0.32724294,-0.3796686,-0.42617485,-0.34785405,3,1,21.711589813232422,-22.128265380859375,5
209,False,📪,closed_mailbox_with_lowered_flag,\U0001f4ea,\U0001f4ea,closed mailbox with lowered flag,[],"[':mailbox_closed:\n(Github, Slack)\n', ':closed_mailbox_with_lowered_flag:\n(Emojipedia)\n']","a curbside mailbox (letterbox, postbox) with its door latched shut and signal flag lowered. generally depicted in blue or gray with a red flag. used for various content concerning postal deliveries and email.
indicates in the united states that no incoming mail (post) has been delivered. may also indicate that outgoing mail has been picked up.
compare 📫 closed mailbox with raised flag, 📭 open mailbox with lowered flag, and 📬 open mailbox with raised flag.

closed mailbox with lowered flag was approved as part of unicode 6.0 in 2010
and added to emoji 1.0 in 2015.
","a curbside mailbox (letterbox, postbox) with its door latched shut and signal flag lowered. generally depicted in blue or gray with a red flag. used for various content concerning postal deliveries and email.
indicates in the united states that no incoming mail (post) has been delivered. may also indicate that outgoing mail has been picked up.
compare 📫 closed mailbox with raised flag, 📭 open mailbox with lowered flag, and 📬 open mailbox with raised flag.","closed mailbox with lowered flag was approved as part of unicode 6.0 in 2010
and added to emoji 1.0 in 2015.",the closed mailbox with lowered flag emoji was added to the objects category in 2010 as part of unicode 6.0 standard. this is a mature emoji and it should work on most devices.,,"['📬', '📫', '📭']",1.0302714,-0.10933722,0.25320235,-0.148481,3,0,23.785585403442383,-19.825061798095703,5
210,False,📫,closed_mailbox_with_raised_flag,\U0001f4eb,\U0001f4eb,closed mailbox with raised flag,[],"[':mailbox:\n(Github, Slack)\n', ':closed_mailbox_with_raised_flag:\n(Emojipedia)\n']","a curbside mailbox (letterbox, postbox) with its door latched shut and signal flag raised. generally depicted in blue or gray with a red flag. used for various content concerning postal deliveries and email.
indicates in the united states that incoming mail (post) has been delivered. may also indicate that there is outgoing mail for pickup.
compare 📪 closed mailbox with lowered flag, 📭 open mailbox with lowered flag, and 📬 open mailbox with raised flag.

closed mailbox with raised flag was approved as part of unicode 6.0 in 2010
and added to emoji 1.0 in 2015.
","a curbside mailbox (letterbox, postbox) with its door latched shut and signal flag raised. generally depicted in blue or gray with a red flag. used for various content concerning postal deliveries and email.
indicates in the united states that incoming mail (post) has been delivered. may also indicate that there is outgoing mail for pickup.
compare 📪 closed mailbox with lowered flag, 📭 open mailbox with lowered flag, and 📬 open mailbox with raised flag.","closed mailbox with raised flag was approved as part of unicode 6.0 in 2010
and added to emoji 1.0 in 2015.",the closed mailbox with raised flag emoji was added to the objects category in 2010 as part of unicode 6.0 standard. this is a mature emoji and it should work on most devices.,,"['📬', '📪', '📭']",0.9263474,0.045612346,0.19850166,-0.26710778,3,0,23.48897361755371,-19.49237060546875,5
211,False,🌂,closed_umbrella,\U0001f302,\U0001f302,closed umbrella,"['collapsed\xa0umbrella', 'pink umbrella']","[':closed_umbrella:\n(Github, Slack, Emojipedia)\n']","an umbrella that is closed, likely as a result of collapsing it prior to going indoors.
shows as purple on apple and samsung devices, as well as on twitter. it is blue on google devices and facebook, and green on whatsapp.

closed umbrella was approved as part of unicode 6.0 in 2010
and added to emoji 1.0 in 2015.
","an umbrella that is closed, likely as a result of collapsing it prior to going indoors.
shows as purple on apple and samsung devices, as well as on twitter. it is blue on google devices and facebook, and green on whatsapp.","closed umbrella was approved as part of unicode 6.0 in 2010
and added to emoji 1.0 in 2015.","the image of a closed umbrella is the emoji that stands for an umbrella which is collapsed before going indoors after coming out from the rain. it can refer to the object itself or to rainy weather. closed umbrella emoji can mean ""i had to take an umbrella because of the heavy rain."" or ""i need to buy a new umbrella!"".",,[],0.521105,-0.5926885,-0.18310864,-0.01047381,2,0,57.29245376586914,8.471417427062988,5
212,False,🌩️,cloud_with_lightning,\U0001f329\ufe0f,\U0001f329,cloud with lightning,[],"[':lightning:\n(Slack)\n', ':cloud_with_lightning:\n(Github, Emojipedia)\n', ':lightning_cloud:\n(Slack)\n']","a thundercloud. depicted as a yellow lightning bolt flashing from a white cloud.
may be used as a weather icon to represent thunderstorms.
not to be confused with ⛈️ cloud with lightning and rain, though their applications may overlap.
samsung’s cloud was previously bluish with two lightning bolts.

cloud with lightning was approved as part of unicode 7.0 in 2014
and added to emoji 1.0 in 2015.
","a thundercloud. depicted as a yellow lightning bolt flashing from a white cloud.
may be used as a weather icon to represent thunderstorms.
not to be confused with ⛈️ cloud with lightning and rain, though their applications may overlap.
samsung’s cloud was previously bluish with two lightning bolts.","cloud with lightning was approved as part of unicode 7.0 in 2014
and added to emoji 1.0 in 2015.","the image of a cloud that has a lightning bolt coming down from it is the emoji symbol for stormy weather. when used with a metaphorical sense, it can also refer to being upset or angry. cloud with lightning emoji can mean ""this makes me really mad!"" or ""there is going to be a bad storm this evening."".","may be used as a weather icon to represent thunderstorms.
not to be confused with ⛈️ cloud with lightning and rain, though their applications may overlap.",['⛈️'],0.5940571,-1.0896294,-0.46569923,-0.32469344,2,0,52.35758590698242,9.0546875,5
213,False,⛈️,cloud_with_lightning_and_rain,\u26c8\ufe0f,\u26c8,cloud with lightning and rain,[],"[':cloud_with_lightning_and_rain:\n(Github, Emojipedia)\n', ':thunder_cloud_and_rain:\n(Slack)\n']","blue raindrops falling from a white cloud with a lightning bolt flashing.
may be used as a weather icon to represent thundershowers.
not to be confused with 🌩️ cloud with lightning, though their applications may overlap.

cloud with lightning and rain was approved as part of unicode 5.2 in 2009
under the name “thunder cloud and rain”
and added to emoji 1.0 in 2015.
","blue raindrops falling from a white cloud with a lightning bolt flashing.
may be used as a weather icon to represent thundershowers.
not to be confused with 🌩️ cloud with lightning, though their applications may overlap.","cloud with lightning and rain was approved as part of unicode 5.2 in 2009
under the name “thunder cloud and rain”
and added to emoji 1.0 in 2015.","the image of a cloud with the thunder sign on it and drops of rain pouring out of it is the emoji symbol for a storm. it generally refers to rainy or stormy weather, but there are cases in which people use cloud with lightning and rain emoji to express that trouble is coming hence the expression “a storm is brewing”.","may be used as a weather icon to represent thundershowers.
not to be confused with 🌩️ cloud with lightning, though their applications may overlap.",['🌩️'],0.48633087,-1.1697824,-0.6198941,-0.47493348,2,0,1.6269224882125854,-49.72914505004883,0
